Mouse,Radiation,Diet,Date,Weight
3078,Sham,CDDO-EA,2019-05-07,23.9
3078,Sham,CDDO-EA,2019-05-28,24.9
3078,Sham,CDDO-EA,2019-06-05,23.4
3078,Sham,CDDO-EA,2019-06-12,27.4
3078,Sham,CDDO-EA,2019-06-19,26.4
3078,Sham,CDDO-EA,2019-06-26,26.5
3078,Sham,CDDO-EA,2019-07-03,26.7
3078,Sham,CDDO-EA,2019-07-10,26.2
3078,Sham,CDDO-EA,2019-07-17,26.4
3078,Sham,CDDO-EA,2019-07-24,26.7
3078,Sham,CDDO-EA,2019-07-31,26.4
3078,Sham,CDDO-EA,2019-08-07,27.1
3078,Sham,CDDO-EA,2019-08-14,28.1
3078,Sham,CDDO-EA,2019-08-21,26.7
3078,Sham,CDDO-EA,2019-08-28,26.2
3078,Sham,CDDO-EA,2019-09-04,26.6
3078,Sham,CDDO-EA,2019-09-11,26.4
3078,Sham,CDDO-EA,2019-09-18,26.7
3078,Sham,CDDO-EA,2019-09-25,27
3078,Sham,CDDO-EA,2019-10-02,27.4
3078,Sham,CDDO-EA,2019-10-09,27.5
3078,Sham,CDDO-EA,2019-10-15,27.4
3078,Sham,CDDO-EA,2019-10-22,27.9
3078,Sham,CDDO-EA,2019-10-30,27.8
3078,Sham,CDDO-EA,2019-11-05,27.8
3078,Sham,CDDO-EA,2019-11-13,27.4
3078,Sham,CDDO-EA,2019-11-20,29.5
3078,Sham,CDDO-EA,2019-11-27,31.1
3078,Sham,CDDO-EA,2019-12-14,28.1
3078,Sham,CDDO-EA,2019-12-11,28.4
3078,Sham,CDDO-EA,2019-12-20,29.4
3078,Sham,CDDO-EA,2019-12-26,31.1
3078,Sham,CDDO-EA,2020-01-02,30.2
3078,Sham,CDDO-EA,2020-01-08,31.8
3078,Sham,CDDO-EA,2020-01-15,29.5
3078,Sham,CDDO-EA,2020-01-22,29
3078,Sham,CDDO-EA,2020-01-29,29.4
3078,Sham,CDDO-EA,2020-02-05,29
3078,Sham,CDDO-EA,2020-02-12,32.4
3078,Sham,CDDO-EA,2020-02-19,34.1
3078,Sham,CDDO-EA,2020-02-26,34.5
3078,Sham,CDDO-EA,2020-03-04,25.8
3078,Sham,CDDO-EA,2020-03-20,34.3
3078,Sham,CDDO-EA,2020-04-24,29.2
3079,Sham,CDDO-EA,2019-04-03,30.2
3079,Sham,CDDO-EA,2019-05-01,32
3079,Sham,CDDO-EA,2019-05-07,32.6
3079,Sham,CDDO-EA,2019-05-28,31.8
3079,Sham,CDDO-EA,2019-06-05,29.7
3079,Sham,CDDO-EA,2019-06-12,30.3
3079,Sham,CDDO-EA,2019-06-19,31.2
3079,Sham,CDDO-EA,2019-06-26,31.3
3079,Sham,CDDO-EA,2019-07-03,31.1
3079,Sham,CDDO-EA,2019-07-10,31
3079,Sham,CDDO-EA,2019-07-17,30.5
3079,Sham,CDDO-EA,2019-07-24,30.9
3079,Sham,CDDO-EA,2019-07-31,28.6
3079,Sham,CDDO-EA,2019-08-07,30.2
3079,Sham,CDDO-EA,2019-08-14,31.5
3079,Sham,CDDO-EA,2019-08-21,28.8
3079,Sham,CDDO-EA,2019-08-28,29.3
3079,Sham,CDDO-EA,2019-09-04,30.1
3079,Sham,CDDO-EA,2019-09-11,29
3079,Sham,CDDO-EA,2019-09-18,29.1
3079,Sham,CDDO-EA,2019-09-25,29.2
3079,Sham,CDDO-EA,2019-10-02,30.1
3079,Sham,CDDO-EA,2019-10-09,29.8
3079,Sham,CDDO-EA,2019-10-15,29.5
3079,Sham,CDDO-EA,2019-10-22,29.8
3079,Sham,CDDO-EA,2019-10-30,29.5
3079,Sham,CDDO-EA,2019-11-05,28.9
3079,Sham,CDDO-EA,2019-11-13,29.4
3079,Sham,CDDO-EA,2019-11-20,30
3079,Sham,CDDO-EA,2019-11-27,31.6
3079,Sham,CDDO-EA,2019-12-14,28.3
3079,Sham,CDDO-EA,2019-12-11,28.8
3079,Sham,CDDO-EA,2019-12-20,29.6
3079,Sham,CDDO-EA,2019-12-26,32.4
3079,Sham,CDDO-EA,2020-01-02,30.6
3079,Sham,CDDO-EA,2020-01-08,30.9
3079,Sham,CDDO-EA,2020-01-15,28.5
3079,Sham,CDDO-EA,2020-01-22,28.8
3079,Sham,CDDO-EA,2020-01-29,28.3
3079,Sham,CDDO-EA,2020-02-05,29.3
3079,Sham,CDDO-EA,2020-02-12,31.5
3079,Sham,CDDO-EA,2020-02-19,31.2
3079,Sham,CDDO-EA,2020-02-26,32.1
3079,Sham,CDDO-EA,2020-03-04,34
3079,Sham,CDDO-EA,2020-03-20,33.7
3079,Sham,CDDO-EA,2020-04-24,40
42,Sham,CDDO-EA,2019-04-03,25
42,Sham,CDDO-EA,2019-05-01,23.1
42,Sham,CDDO-EA,2019-05-07,23.9
42,Sham,CDDO-EA,2019-05-28,25.3
42,Sham,CDDO-EA,2019-06-05,22.2
42,Sham,CDDO-EA,2019-06-12,26.3
42,Sham,CDDO-EA,2019-06-19,26.6
42,Sham,CDDO-EA,2019-06-26,25.8
42,Sham,CDDO-EA,2019-07-03,25.3
42,Sham,CDDO-EA,2019-07-10,26.7
42,Sham,CDDO-EA,2019-07-17,26.4
42,Sham,CDDO-EA,2019-07-24,26
42,Sham,CDDO-EA,2019-07-31,26.8
42,Sham,CDDO-EA,2019-08-07,26.3
42,Sham,CDDO-EA,2019-08-14,25.6
42,Sham,CDDO-EA,2019-08-21,25.6
42,Sham,CDDO-EA,2019-08-28,26.1
42,Sham,CDDO-EA,2019-09-04,25.5
42,Sham,CDDO-EA,2019-09-11,26.8
42,Sham,CDDO-EA,2019-09-18,26.2
42,Sham,CDDO-EA,2019-09-25,25.9
42,Sham,CDDO-EA,2019-10-02,26.9
42,Sham,CDDO-EA,2019-10-09,27.2
42,Sham,CDDO-EA,2019-10-15,26.6
42,Sham,CDDO-EA,2019-10-22,29
42,Sham,CDDO-EA,2019-10-30,26.4
42,Sham,CDDO-EA,2019-11-05,27
42,Sham,CDDO-EA,2019-11-13,26.8
42,Sham,CDDO-EA,2019-11-20,29.2
42,Sham,CDDO-EA,2019-11-27,29.6
42,Sham,CDDO-EA,2019-12-14,28.5
42,Sham,CDDO-EA,2019-12-11,30.4
42,Sham,CDDO-EA,2019-12-20,29.8
42,Sham,CDDO-EA,2019-12-26,31
42,Sham,CDDO-EA,2020-01-02,30.3
42,Sham,CDDO-EA,2020-01-08,30.7
42,Sham,CDDO-EA,2020-01-15,29
42,Sham,CDDO-EA,2020-01-22,29.5
42,Sham,CDDO-EA,2020-01-29,30.7
42,Sham,CDDO-EA,2020-02-05,29.1
42,Sham,CDDO-EA,2020-02-12,30
42,Sham,CDDO-EA,2020-02-19,32.3
42,Sham,CDDO-EA,2020-02-26,32.3
42,Sham,CDDO-EA,2020-03-04,33.8
42,Sham,CDDO-EA,2020-03-20,36
42,Sham,CDDO-EA,2020-04-24,43.1
3080,Sham,CDDO-EA,2019-04-03,22.8
3080,Sham,CDDO-EA,2019-05-01,22.8
3080,Sham,CDDO-EA,2019-05-07,22.9
3080,Sham,CDDO-EA,2019-05-28,23.2
3080,Sham,CDDO-EA,2019-06-05,21.5
3080,Sham,CDDO-EA,2019-06-12,24.4
3080,Sham,CDDO-EA,2019-06-19,25.1
3080,Sham,CDDO-EA,2019-06-26,24.1
3080,Sham,CDDO-EA,2019-07-03,24.8
3080,Sham,CDDO-EA,2019-07-10,25.1
3080,Sham,CDDO-EA,2019-07-17,24.4
3080,Sham,CDDO-EA,2019-07-24,24.4
3080,Sham,CDDO-EA,2019-07-31,24.8
3080,Sham,CDDO-EA,2019-08-07,25.4
3080,Sham,CDDO-EA,2019-08-14,25.1
3080,Sham,CDDO-EA,2019-08-21,24.7
3080,Sham,CDDO-EA,2019-08-28,24.6
3080,Sham,CDDO-EA,2019-09-04,24.6
3080,Sham,CDDO-EA,2019-09-11,24.4
3080,Sham,CDDO-EA,2019-09-18,24.7
3080,Sham,CDDO-EA,2019-09-25,24.9
3080,Sham,CDDO-EA,2019-10-02,24.7
3080,Sham,CDDO-EA,2019-10-09,24.6
3080,Sham,CDDO-EA,2019-10-15,24.6
3080,Sham,CDDO-EA,2019-10-22,25.2
3080,Sham,CDDO-EA,2019-10-30,24
3080,Sham,CDDO-EA,2019-11-05,25.1
3080,Sham,CDDO-EA,2019-11-13,24.2
3080,Sham,CDDO-EA,2019-11-20,25.4
3080,Sham,CDDO-EA,2019-11-27,25.3
3080,Sham,CDDO-EA,2019-12-14,24.4
3080,Sham,CDDO-EA,2019-12-11,26.1
3080,Sham,CDDO-EA,2019-12-20,26.5
3080,Sham,CDDO-EA,2019-12-26,33.6
3080,Sham,CDDO-EA,2020-01-02,26.8
3080,Sham,CDDO-EA,2020-01-08,28.4
3080,Sham,CDDO-EA,2020-01-15,27.4
3080,Sham,CDDO-EA,2020-01-22,27.4
3080,Sham,CDDO-EA,2020-01-29,27.3
3080,Sham,CDDO-EA,2020-02-05,26.5
3080,Sham,CDDO-EA,2020-02-12,29
3080,Sham,CDDO-EA,2020-02-19,30.1
3080,Sham,CDDO-EA,2020-02-26,29.6
3080,Sham,CDDO-EA,2020-03-04,30.7
